year,djf_pc1,son_pc1,wsst,ssst,lag_wsst,lag_ssst,oil,pop,nao_djf,nao_son,pop2
1995,0.412861849,-0.639920104,10.84961353,16.54954071,11.08434196,16.15387221,1,9995,-0.62,-0.29,8397
1996,-1.489358346,1.606247486,10.60010126,16.04427889,10.84961353,16.54954071,0,8397,-0.07,-0.58,9706
1997,-1.663052377,1.218699851,11.48602319,16.72972033,10.60010126,16.04427889,0,9706,-0.23,-0.66,10899
1998,0.847959171,1.831008783,10.93029268,16.08587337,11.48602319,16.72972033,0,10899,0.64,-0.86,12125
1999,2.202841189,-1.153707154,10.87536623,16.5403624,10.93029268,16.08587337,1,12125,1.3,0.4,13852
2000,1.227213379,2.483085262,11.02646912,16.29219501,10.87536623,16.5403624,0,13852,0.04,-0.07,14281
2001,-0.964797764,-0.460004517,11.32539074,16.51216444,11.02646912,16.29219501,0,14281,0.24,-0.09,14434
2002,-0.864873253,0.942366701,11.03711885,16.29564208,11.32539074,16.51216444,1,14434,-0.05,-1.05,14676
2003,0.338292608,0.572389514,11.29772781,17.5797126,11.03711885,16.29564208,0,14676,0.07,-0.13,14187
2004,0.122423187,-2.088518907,11.10757128,16.91379168,11.29772781,17.5797126,0,14187,0.89,0,19711
2005,-4.969001384,-1.592928081,11.04075502,16.63054717,11.10757128,16.91379168,0,19711,0.1,-0.22,16974
2006,1.431469973,1.418473806,11.72603481,17.02739362,11.04075502,16.63054717,0,16974,0.36,-1.14,17544
2007,1.106556456,-3.710777668,11.49800129,16.55274524,11.72603481,17.02739362,0,17544,0.66,0.58,17088
2008,-1.555646698,-0.328136978,10.70364112,16.78520394,11.49800129,16.55274524,0,17088,-0.08,0.22,19512
2009,0.903948398,0.531555226,10.95811526,17.07969372,10.70364112,16.78520394,0,19512,-1.67,0.15,19962
2010,-2.102000477,1.86066748,10.69835746,16.75594809,10.95811526,17.07969372,0,19962,-0.67,-1.11,21688
2011,-0.77114835,-1.677065893,11.33451703,16.27593816,10.69835746,16.75594809,0,21688,1.37,0.76,22508
2012,-0.626334601,-0.827859378,10.95901695,16.54554322,11.33451703,16.27593816,0,22508,0.02,-1.08,20862
2013,3.309967718,0.097298369,11.12277709,16.37673612,10.95901695,16.54554322,0,20862,0.86,-0.05,23593
2014,0.497603722,-2.04424882,11.22804963,17.12942591,11.12277709,16.37673612,0,23593,1.66,0.34,23746
2015,2.732184967,0.113395609,11.55963086,16.38472073,11.22804963,17.12942591,0,23746,1.31,0.51,24267
2016,-2.467680244,-2.880092397,11.47767503,16.77785725,11.55963086,16.38472073,0,24267,0.65,0.29,24788
2017,0.47378367,0.204055162,11.17114694,17.0958673,11.47767503,16.77785725,0,24788,1.3,-0.14,26793
2018,-0.915943498,2.221369884,11.60274146,17.24280564,11.17114694,17.0958673,0,26793,0.5,0.83,28798
2019,1.885259623,2.212394612,11.41984633,16.98966693,11.60274146,17.24280564,0,28798,1.27,-0.43,28033
2020,0.897471081,0.090252149,11.1896679,17.04568308,11.41984633,16.98966693,0,28033,-0.42,0.96,27269
