"year","djf_pc1","son_pc1","wsst","ssst","lag_wsst","lag_ssst","oil","pop","nao_djf","nao_son","pop2"
1995,0.412861849,-0.639920104,-1.04425396450047,-0.401468701359104,-0.247122443665198,-1.32848470649891,1,-1.42270793160766,-1.2669574579149,-0.290743419404518,-1.80924464776956
1996,-1.489358346,1.606247486,-1.8769310578919,-1.73632521431684,-1.02960051146527,-0.30450408486999,0,-1.69317665552054,-0.557857980490903,-0.759163372889574,-1.58724655733405
1997,-1.663052377,1.218699851,1.07958445793473,0.0745497305486376,-1.86136119304103,-1.61210959940793,0,-1.47162248805999,-0.764141464832428,-0.888382670402693,-1.38492133052765
1998,0.847959171,1.831008783,-0.775009970530588,-1.62643632041409,1.09190049753522,0.161796465445396,0,-1.26970184498861,0.357524981274614,-1.21143091418549,-1.17699951320608
1999,2.202841189,-1.153707154,-0.958311564220995,-0.42571697501937,-0.760652836896181,-1.50446407926485,1,-1.06219580273756,1.20844435418341,0.823773021646134,-0.884111276244935
2000,1.227213379,2.483085262,-0.45404812560034,-1.08135301109513,-0.943752696027512,-0.32825733179084,0,-0.76989324566776,-0.416038085006105,0.0646096487565595,-0.811355599547582
2001,-0.964797764,-0.460004517,0.543518790421291,-0.500213461926142,-0.440044230009113,-0.970508605976744,0,-0.69728305633195,-0.158183729579198,0.0323048243782798,-0.785407770795379
2002,-0.864873253,0.942366701,-0.41850764407691,-1.07224616063071,0.556424802912322,-0.401232978347155,1,-0.671387114680718,-0.532072544948213,-1.51832674577915,-0.744366107017384
2003,0.338292608,0.572389514,0.451201534251523,2.32015324274997,-0.404542862948493,-0.961587671200793,0,-0.630427520696415,-0.377359931692069,-0.0323048243782798,-0.827297402833249
2004,0.122423187,-2.088518907,-0.183392454612429,0.560849764848525,0.464209147501137,2.36155614561801,0,-0.713192981268002,0.679842925558247,0.177676534080539,0.109537930677664
2005,-4.969001384,-1.592928081,-0.406372948389691,-0.187456883243395,-0.169686432058467,0.638168719989476,0,0.221768990505919,-0.338681778378033,-0.177676534080539,-0.354639894778413
2006,1.431469973,1.418473806,1.88055580143527,0.860975924180409,-0.392421522232362,-0.0948613024226649,0,-0.241480632366134,-0.00347111632305454,-1.66369845548141,-0.257971513152558
2007,1.106556456,-3.710777668,1.11955800108895,-0.393002619869965,1.89199032332737,0.93216782565357,0,-0.145005555626247,0.383310416817305,1.11451644105065,-0.335306218453242
2008,-1.555646698,-0.328136978,-1.53139586767878,0.221132462984084,1.13183004737252,-0.296210837817394,0,-0.222185617018157,-0.570750698262249,0.533029602241616,0.0757887939346024
2009,0.903948398,0.531555226,-0.682159927344137,0.999148108085659,-1.51620628533305,0.305386722081989,0,0.188087340907257,-2.62069282390615,0.419962716917637,0.152105937323435
2010,-2.102000477,1.86066748,-1.54902859833074,0.143841125367059,-0.667904980832849,1.0675192344952,0,0.264251875175589,-1.33142104677162,-1.61524121891399,0.444824580632601
2011,-0.77114835,-1.677065893,0.573975218999526,-1.12430215398243,-1.53381961009185,0.229673281488966,0,0.55638517772479,1.29869337858282,1.40525986045517,0.583891375252252
2012,-0.626334601,-0.827859378,-0.67915079032518,-0.412029712206872,0.586847712337414,-1.01258094524239,0,0.69517388461375,-0.441823520548795,-1.56678398234657,0.3047402241011
2013,3.309967718,0.097298369,-0.132647336252271,-0.858002963992464,-0.664899155552309,-0.31484949345105,0,0.416580943712252,0.641164772244211,0.0969144731348393,0.767900487645326
2014,0.497603722,-2.04424882,0.218670186613969,1.13053610357114,-0.118997161789269,-0.75171823380661,0,0.878815039460728,1.67258219395184,0.726858548511295,0.793848316397529
2015,2.732184967,0.113395609,1.32522937434271,-0.83690833890892,0.231933714762862,1.19622495362918,0,0.904710981111961,1.22133707195475,1.00144955572667,0.882206609076599
2016,-2.467680244,-2.880092397,1.05172481959323,0.201723165453589,1.33727506676343,-0.731054253956645,0,0.992892586342629,0.37041769904596,0.646096487565595,0.97056490175567
2017,0.47378367,0.204055162,0.0287734472057114,1.04187725908472,1.06407152042117,0.286373663945915,0,1.0810741915733,1.20844435418341,-0.0484572365674197,1.31060017396591
2018,-0.915943498,2.221369884,1.46909888866504,1.43007520396842,0.0422459682729035,1.10937607299097,0,1.42042950536886,0.17702693247578,1.51832674577915,1.65063544617615
2019,1.885259623,2.212394612,0.858737781999433,0.76130538533217,1.48098624392975,1.48964898512404,0,1.75978481916443,1.16976620086937,-0.516877190052476,1.52089630241514
2020,0.897471081,0.090252149,0.0905819472030018,0.909295040791036,0.871296876806892,0.834532053591339,0,1.63030511090827,-1.00910310248799,1.72830810423797,1.3913267523061
